From_Date,From Time,Offense,Zip Code,DVFlag,Race,Sex,Firearm Used Flag  
41675,0.04,802,64133,Y,B,M,N
41724,0.69,501,64138,U,U,U,N
41710,0.34,2601,64126,U,B,F,N
41842,0.42,1198,64134,U,B,F,N
41682,0.88,1849,64106,U,,,N
41743,0.96,660,64132,U,U,U,N
41735,0.81,802,64134,Y,B,M,N
41643,0.81,403,64145,Y,B,M,N
41944,0,1188,64114,U,U,F,N
41899,0.05,1850,64126,U,B,M,N
41869,0.75,690,64120,U,,,N
41685,0.96,2601,64127,U,B,F,N
41910,0.57,501,64109,U,U,U,N
41950,0.86,1401,64124,U,B,F,N
41785,0.94,640,64112,U,W,F,N
41934,0.71,1742,64134,U,B,M,N
41873,0.75,670,64111,U,U,U,N
41817,0.5,650,64117,N,U,U,N
41749,0.88,802,64123,Y,B,M,N
41829,0.67,630,64152,U,,,N
41994,0.5,1401,64118,N,W,M,N
41785,0.88,1770,64138,U,B,M,N
41943,0.97,640,64127,U,B,F,N
41696,0.46,640,64110,U,U,U,N
41799,0.51,402,64124,N,W,M,Y
41691,0.5,3020,,U,B,F,N
41974,0.5,702,64130,N,B,F,N
41767,0.59,2655,64105,U,B,M,N
41845,0.79,1401,64119,N,W,F,N
41765,0.31,1401,64127,U,B,F,N
41795,0.94,1401,64152,N,B,M,N
41669,0.83,640,64111,U,U,U,N
41656,0.35,670,64111,U,W,F,N
41942,0.5,2601,64126,U,W,F,N
41881,0.71,2402,64111,U,,,N
41648,0.67,2601,64019,U,,,N
41827,0.41,640,64117,U,,,N
41916,0.61,1850,64106,U,,,N
41768,0.79,690,64109,U,W,M,N
41663,0.59,501,64124,U,B,M,N
41860,0,702,64130,U,B,M,N
41880,0.5,801,64134,N,B,F,N
41710,0.46,1401,64111,U,U,U,N
41452,0.08,2601,64151,U,,,N
41872,0.9,650,64119,U,U,U,N
41938,0.1,801,64106,N,W,F,N
41840,0.75,670,64118,U,W,M,N
